год;Year
целое;Whole
вирус;Virus
выражение;Expression
здоровье;Health
зима;Winter
десяток;Dozen
глубина;Depth
сеть;Network
студент;Student
секунда;Second
скорость;Speed
поиск;Search
суть;Essence
налог;Tax
ошибка;Error
доход;Income
режиссер;Director
поверхность;Surface
ощущение;Feeling
карта;Map
клуб;Club
станция;Station
революция;Revolution
колено;Knee
министерство;Ministry
стекло;Glass
этаж;Floor
высота;Height
бабушка;Grandmother
трубка;Pipe
газ;Gas
мастер;Master
поведение;Behavior
столица;Capital
механизм;Mechanism
передача;Transfer
способность;Ability
подход;Approach
энергия;Energy
существование;Existence
исполнение;Execution
кино;Movie
сожаление;Regret
заместитель;Deputy
ресурс;Resource
акция;Action
рождение;Birth
администрация;Administration
стоимость;Cost
улыбка;Smile
артист;Artist
сосед;Neighbor
фраза;Phrase
фигура;Figure
субъект;Subject
реакция;Reaction
список;List
фотография;Photo
журналист;Journalist
май;May
нарушение;Violation
заседание;Meeting
толпа;Crowd
больница;Hospital
существо;Creature
свойство;Property
долг;Duty
поколение;Generation
животное;Animal
схема;Scheme
усилие;Effort
отличие;Difference
остров;Island
противник;Opponent
волна;Wave
реализация;Implementation
страница;Page
формирование;Formation
житель;Resident
красота;Beauty
птица;Bird
растение;Plant
тень;Shadow
явление;Phenomenon
храм;Temple
запах;Smell
водка;Vodka
наличие;Availability
ужас;Horror
одежда;Clothing
кресло;Chair
больной;Sick
поезд;Train
университет;University
традиция;Tradition
адрес;Address
декабрь;December
ладонь;Palm
сведение;Information
цветок;Flower
лидер;Leader
октябрь;October
занятие;Lesson
сентябрь;September
помещение;Room
январь;January
зритель;Viewer
редакция;Revision
стиль;Style
весна;Spring
фактор;Factor
август;August
известие;News
зависимость;Dependence
охрана;Protection
оборудование;Equipment
концерт;Concert
отделение;Department
расход;Consumption
выставка;Exhibition
милиция;Police
переход;Transition
эпоха;Era
запад;West
произведение;Work
родина;Homeland
собственность;Property
тайна;Mystery
трава;Grass
лагерь;Camp
имущество;Property
кровать;Bed
аппарат;Machine
середина;Middle
март;March
клиент;Client
дама;Lady
фронт;Front
отрасль;Industry
стул;Chair
беседа;Conversation
законодательство;Legislation
продажа;Sale
повышение;Increase
музей;Museum
след;Trace
полковник;Colonel
сомнение;Doubt
понимание;Understanding
апрель;April
князь;Prince
рыба;Fish
дума;Duma
кодекс;Code
сутки;Night
чудо;Miracle
шея;Neck
судья;Judge
крыша;Roof
настроение;Mood
поток;Stream
должность;Post
преступление;Crime
мозг;Brain
честь;Honor
пост;Position
еврей;Jew
июнь;June
сотня;Hundred
дождь;Rain
лестница;Stairs
дача;Dacha
установка;Installation
появление;Appearance
получение;Receiving
образец;Sample
труба;Pipe
главное;Main
осень;Autumn
костюм;Suit
баба;Woman
ценность;Value
обязанность;Duty
пьеса;Play
таблица;Table
вино;Wine
воспоминание;Memory
лошадь;Horse
коллега;Colleague
организм;Body
ученик;Student
учреждение;Institution
открытие;Opening
том;Volume
черта;Feature
характеристика;Characteristic
выполнение;Performance
оборона;Defense
выступление;Performance
температура;Temperature
перспектива;Perspective
подруга;Girlfriend
приказ;Order
жертва;Victim
ресторан;Restaurant
километр;Kilometer
спор;Dispute
вкус;Taste
признак;Sign
промышленность;Industry
американец;American
лоб;Forehead
заключение;Conclusion
восток;East
исключение;Exception
ключ;Key
постановление;Resolution
слой;Layer
бок;Side
июль;July
перевод;Translation
секретарь;Secretary
кусок;Piece
слух;Hearing
польза;Use
звонок;Call
обстановка;Setting
чиновник;Official
соглашение;Agreement
деталь;Part
русский;Russian
тишина;Silence
зарплата;Salary
билет;Ticket
подарок;Gift
тюрьма;Prison
ящик;Box
конкурс;Contest
книжка;Book
изучение;Study
просьба;Request
царь;King
публика;Audience
смех;Laughter
сообщение;Message
угроза;Threat
беда;Trouble
блок;Block
достижение;Achievement
назначение;Assignment
реклама;Advertisment
портрет;Portrait
масло;Oil
стакан;Glass
урок;Lesson
часы;Watch
крик;Cry
творчество;Creativity
телевизор;Tv
инструмент;Tool
концепция;Concept
лейтенант;Lieutenant
экран;Screen
дно;Bottom
реальность;Reality
канал;Channel
мясо;Meat
знакомый;Familiar
щека;Cheek
конфликт;Conflict
переговоры;Negotiations
запись;Record
вагон;Car
площадка;Playground
последствие;Effect
сотрудничество;Cooperation
зеркало;Mirror
тон;Ton
академия;Academy
палата;Chamber
потребность;Need
ноябрь;November
увеличение;Increase
дурак;Fool
поездка;Drive
обед;Lunch
потеря;Loss
февраль;February
мероприятие;Event
парк;Park
принятие;Adoption
устройство;Device
вещество;Substance
категория;Category
сезон;Season
гостиница;Hotel
издание;Edition
объединение;Merge
темнота;Darkness
человечество;Humanity
колесо;Wheel
опасность;Danger
разрешение;Resolution
воздействие;Impact
коллектив;Team
камера;Camera
запас;Stock
следствие;Consequence
длина;Length
крыло;Wing
округ;District
фон;Background
кандидат;Candidate
родственник;Relative
давление;Pressure
присутствие;Presence
взаимодействие;Interaction
доска;Board
партнер;Partner
двигатель;Engine
шум;Noise
достоинство;Dignity
грех;Sin
нож;Knife
полет;Flight
страсть;Passion
испытание;Test
оплата;Payment
разница;Difference
водитель;Driver
пакет;Package
снижение;Reduction
формула;Formula
живот;Stomach
капитал;Capital
мост;Bridge
новость;News
эффект;Effect
вход;Entrance
губернатор;Governor
доклад;Report
смена;Change
убийство;Murder
эксперт;Expert
автобус;Bus
платье;Dress
кадр;Frame
тетя;Aunt
общение;Communication
психология;Psychology
лев;Lion
порог;Threshold
проверка;Check
процедура;Procedure
рабочий;Worker
ремонт;Repair
обращение;Appeal
обучение;Training
ожидание;Waiting
памятник;Monument
корень;Root
наблюдение;Observation
буква;Letter
доказательство;Proof
признание;Recognition
постель;Bed
штаб;Headquarters
владелец;Owner
компьютер;Computer
инженер;Engineer
старуха;Granny
лодка;Boat
ракета;Rocket
серия;Series
шутка;Joke
вершина;Vertex
выпуск;Issue
кулак;Fist
лед;Ice
торговля;Trade
нефть;Oil
молодежь;Youth
цифра;Number
корпус;Housing
недостаток;Lack
сапог;Boots
сущность;Essence
талант;Talent
эффективность;Efficiency
кофе;Coffee
полоса;Strip
основное;Main
рассмотрение;Consideration
сбор;Collection
штат;State
следователь;Investigator
жилье;Accommodation
мешок;Bag
описание;Description
куст;Bush
отказ;Failure
замок;Castle
редактор;Editor
дворец;Palace
забота;Care
пиво;Beer
диван;Sofa
столик;Table
эксперимент;Experiment
печать;Print
кольцо;Ring
пистолет;Gun
воспитание;Education
начальство;Bosses
профессия;Profession
ворота;Gate
добро;Good
дружба;Friendship
покой;Peace
риск;Risk
окончание;End
дым;Smoke
брак;Marriage
величина;Size
записка;Note
инициатива;Initiative
совесть;Conscience
активность;Activity
кость;Bone
спорт;Sports
кредит;Credit
господь;Lord
майор;Major
конференция;Conference
потолок;Ceiling
библиотека;Library
помощник;Assistant
конструкция;Design
отдых;Stay
ручка;Handle
металл;Metal
молоко;Milk
прокурор;Prosecutor
транспорт;Transport
поэзия;Poetry
соединение;Connection
краска;Paint
расстояние;Distance
мечта;Dream
село;Village
еда;Food
зло;Evil
подразделение;Unit
сюжет;Plot
рубеж;Frontier
сигнал;Signal
атмосфера;атмосфера
крест;Cross
вес;Weight
взрыв;Explosion
контакт;Contact
сигарета;Cigarette
восторг;Delight
золото;Gold
почва;Soil
премия;Prize
король;King
подъезд;Entrance
шанс;Chance
автомат;Automatic
заказ;Order
мальчишка;Boy
очки;Glasses
миг;Moment
штука;Thing
чтение;Reading
поселок;Village
свидетель;Witness
ставка;Rate
сумка;Bag
удивление;Surprise
хвост;Tail
песок;Sand
поворот;Turn
возвращение;Return
мгновение;Moment
статус;Status
озеро;Lake
строй;Build
параметр;Setting
сказка;Fairytale
тенденция;Trend
вина;Wine
дыхание;Breath
версия;Version
масштаб;Scale
монастырь;Monastery
хозяйка;Mistress
дочка;Daughter
танец;Dance
эксплуатация;Operation
коммунист;Communist
пенсия;Pension
приятель;Buddy
объяснение;Explanation
набор;Set
производитель;Manufacturer
пыль;Dust
философия;Philosophy
мощность;Power
обязательство;Obligation
уход;Care
горло;Throat
кризис;Crisis
указание;Order
плата;Fee
яблоко;Apple
препарат;Drug
действительность;Reality
москвич;Moskvich
остаток;Remainder
изображение;Image
сделка;Deal
сочинение;Composition
покупатель;Buyer
танк;Tank
затрата;Cost
строка;String
единица;Unit
обработка;Processing
чемпионат;Championship
